design,n,p,SNR,replicate,Rhat,success,H_minus_T,N_minus_T,mean_acceptance
independent,1000,1000,1.0,19,1.3805987439819467,True,7.668877471378437,-24.68639752808849,0.0073
independent,1000,1000,1.0,20,1.0900297883560146,True,33.04936125253698,-11.52127981319245,0.006300000000000001
independent,1000,1000,2.0,1,1.0,True,0.0,-368.9784977787749,0.0068583333333333335
independent,1000,1000,2.0,2,1.0,True,0.0,-397.8024579074572,0.008075
independent,1000,1000,2.0,3,1.0,True,0.0,-355.73514953352424,0.0037666666666666664
independent,1000,1000,2.0,4,1.0,True,0.0,-363.1586424565794,0.0055916666666666675
independent,1000,1000,2.0,5,1.0,True,0.0,-326.5743124332839,0.005958333333333333
independent,1000,1000,2.0,6,1.0,True,0.0,-379.42090315187124,0.005416666666666667
independent,1000,1000,2.0,7,1.132640118019297,True,0.0,-343.58872220024386,0.005233333333333333
independent,1000,1000,2.0,8,1.0,True,0.0,-322.6286021989454,0.004741666666666667
independent,1000,1000,2.0,9,1.0,True,0.0,-349.00860215584,0.005358333333333333
independent,1000,1000,2.0,10,1.0,True,0.0,-367.51122931250757,0.005291666666666667
independent,1000,1000,2.0,11,1.0,True,0.0,-363.20036694447845,0.009483333333333333
independent,1000,1000,2.0,12,1.0,True,0.0,-358.1476098289677,0.005666666666666667
independent,1000,1000,2.0,13,1.0,True,0.0,-362.23681916181886,0.006933333333333333
independent,1000,1000,2.0,14,1.0,True,0.0,-307.88523905231887,0.008475
independent,1000,1000,2.0,15,1.0,True,0.0,-316.86375684731865,0.006941666666666666
independent,1000,1000,2.0,16,1.0,True,0.0,-362.6685387680318,0.006733333333333334
independent,1000,1000,2.0,17,1.0,True,0.0,-340.43963547924614,0.005508333333333333
independent,1000,1000,2.0,18,1.0,True,0.0,-329.4816748697249,0.005541666666666667
independent,1000,1000,2.0,19,1.0,True,0.0,-368.8147275966239,0.005475
independent,1000,1000,2.0,20,1.0,True,0.0,-317.015487610739,0.007666666666666666
independent,1000,1000,3.0,1,1.0,True,0.0,-682.4251863618647,0.004383333333333333
independent,1000,1000,3.0,2,1.0,True,0.0,-676.2258994024305,0.006025
independent,1000,1000,3.0,3,1.0,True,0.0,-660.0158101549168,0.006308333333333333
independent,1000,1000,3.0,4,1.0,True,0.0,-659.6468547363984,0.008441666666666667
independent,1000,1000,3.0,5,1.0,True,0.0,-657.5057019503674,0.007133333333333333
independent,1000,1000,3.0,6,1.0,True,0.0,-636.1601784947143,0.009416666666666665
independent,1000,1000,3.0,7,1.3163593509137925,True,0.0,-649.4094617886476,0.005825
independent,1000,1000,3.0,8,1.1122101332503207,True,0.0,-641.5410468811915,0.004116666666666667
independent,1000,1000,3.0,9,1.0,True,0.0,-639.4277047162723,0.0037916666666666667
independent,1000,1000,3.0,10,1.0,True,0.0,-673.5562580059322,0.00505
independent,1000,1000,3.0,11,1.0,True,0.0,-628.0815432838717,0.007466666666666667
independent,1000,1000,3.0,12,1.0114952150573404,True,0.0,-633.159572777151,0.0065
independent,1000,1000,3.0,13,1.1212655877344355,True,0.0,-655.7118331573547,0.0068000000000000005
independent,1000,1000,3.0,14,1.0,True,0.0,-664.8577126123364,0.0045
independent,1000,1000,3.0,15,1.584907465897761,False,0.0,-643.0643579949974,0.004158333333333333
independent,1000,1000,3.0,16,1.04604570671047,True,0.0,-634.0500429400636,0.005483333333333333
independent,1000,1000,3.0,17,1.0,True,0.0,-614.8954399707945,0.0070083333333333326
independent,1000,1000,3.0,18,1.0461601850371325,True,0.0,-702.0207781944973,0.0051
independent,1000,1000,3.0,19,1.0,True,0.0,-578.8211812209502,0.007308333333333333
independent,1000,1000,3.0,20,1.0,True,0.0,-635.9669015248692,0.006625
independent,1000,5000,0.5,1,1.2905567533288869,True,127.99363928191633,127.10159955745621,0.19512666666666667
independent,1000,5000,0.5,2,1.4168798050349944,True,159.5332109779083,159.5332109779083,0.34718166666666667
independent,1000,5000,0.5,3,1.3808941090767313,True,139.94032493930172,139.94032493930172,0.3512483333333334
independent,1000,5000,0.5,4,1.0,True,116.48748275010803,116.48748275010803,0.399935
independent,1000,5000,0.5,5,1.0,True,127.41458701185547,127.41458701185547,0.39526333333333336
independent,1000,5000,0.5,6,1.0,True,135.5651389174218,135.5651389174218,0.3939633333333333
independent,1000,5000,0.5,7,1.0,True,144.4897082818843,144.4897082818843,0.37442833333333336
independent,1000,5000,0.5,8,1.0,True,153.02424242389316,153.02424242389316,0.3725066666666666
independent,1000,5000,0.5,9,1.0,True,145.24124224951083,145.24124224951083,0.3634633333333333
independent,1000,5000,0.5,10,1.0,True,160.89920334189628,160.89920334189628,0.39618333333333333
independent,1000,5000,0.5,11,1.2014779131445879,True,117.22331745983138,117.22331745983138,0.3165016666666666
independent,1000,5000,0.5,12,1.0,True,150.96631780892858,150.96631780892858,0.4116083333333333
independent,1000,5000,0.5,13,1.02036566662146,True,163.42766063932504,163.42766063932504,0.41256166666666666
independent,1000,5000,0.5,14,1.0979998386818755,True,137.07776847297282,137.07776847297282,0.3630816666666667
independent,1000,5000,0.5,15,1.0,True,151.63059182468896,151.63059182468896,0.398905
independent,1000,5000,0.5,16,1.158445300024084,True,108.20843632205106,107.93309295139079,0.184905
independent,1000,5000,0.5,17,1.0,True,143.52859816313685,143.52859816313685,0.42346666666666666
independent,1000,5000,0.5,18,1.028827284607271,True,144.0975590888538,144.0975590888538,0.34209
independent,1000,5000,0.5,19,1.0548148639318207,True,151.33409938008663,151.33409938008663,0.35209666666666667
independent,1000,5000,0.5,20,1.0671544155366917,True,143.54881268264762,143.54881268264762,0.35873499999999997
independent,1000,5000,1.0,1,1.0633019946705933,True,21.72408079505294,-28.470507957455993,0.004905
independent,1000,5000,1.0,2,1.474468529825408,True,34.148484691248086,13.597452946234625,0.0060799999999999995
independent,1000,5000,1.0,3,1.4875043389658942,True,52.26639415790487,21.159658962209505,0.0053033333333333335
independent,1000,5000,1.0,4,1.131696825531479,True,51.451392658815166,-5.401785716347149,0.005371666666666667
independent,1000,5000,1.0,5,1.1802404166585343,True,30.996793350839653,3.8676093405847496,0.004361666666666667
independent,1000,5000,1.0,6,1.2480220793939232,True,22.096935548313922,-1.115753738922649,0.004948333333333333
independent,1000,5000,1.0,7,1.2748146768170097,True,31.65955557205598,-3.078080920542561,0.008145
independent,1000,5000,1.0,8,1.2043432365788895,True,29.784037197623547,1.5597754427453765,0.007051666666666665
independent,1000,5000,1.0,9,1.1000109936466131,True,22.869715646804252,-9.475350323577004,0.004883333333333333
independent,1000,5000,1.0,10,1.0794017283724424,True,45.00999330268678,-4.105846721087801,0.00428
independent,1000,5000,1.0,11,1.1248243680083134,True,33.22116446273867,-21.99972211480599,0.005435
independent,1000,5000,1.0,12,1.0,True,39.96816426700934,10.980965177714097,0.003961666666666668
independent,1000,5000,1.0,13,1.1574114908704607,True,39.011149625661346,11.990912213652337,0.004723333333333334
independent,1000,5000,1.0,14,1.1577433142366345,True,34.93804124030248,-3.6577872156140074,0.006568333333333335
independent,1000,5000,1.0,15,1.1502295893506256,True,23.08953970065886,-34.544369405599355,0.005255
independent,1000,5000,1.0,16,1.5985122665378444,False,26.603236966968325,-4.055198201212988,0.008516666666666667
independent,1000,5000,1.0,17,1.1005802132837605,True,43.04447376524877,17.4602865316283,0.00505
independent,1000,5000,1.0,18,1.1507781235863925,True,34.006031620932845,-20.07026965482146,0.0031300000000000004
independent,1000,5000,1.0,19,1.019225466847099,True,29.072314328581342,-21.497156449162503,0.004783333333333333
independent,1000,5000,1.0,20,1.1542852944462714,True,16.539221851080583,-32.375677207786794,0.0032683333333333336
independent,1000,5000,2.0,1,1.0,True,0.0,-367.2929515184169,0.004545
independent,1000,5000,2.0,2,1.0,True,0.0,-378.0050492021837,0.003946666666666667
independent,1000,5000,2.0,3,1.0,True,0.0,-329.09647669348305,0.0034666666666666665
independent,1000,5000,2.0,4,1.0,True,0.0,-364.85828994229996,0.006193333333333333
independent,1000,5000,2.0,5,1.0,True,0.0,-365.4077903810503,0.005058333333333333
independent,1000,5000,2.0,6,1.0,True,0.0,-365.60302640770533,0.006723333333333334
independent,1000,5000,2.0,7,1.0,True,0.0,-370.59942869674524,0.0042116666666666665
independent,1000,5000,2.0,8,1.0,True,0.0,-363.01760856029614,0.003935
independent,1000,5000,2.0,9,1.0,True,0.0,-371.66115925616214,0.0035633333333333333
independent,1000,5000,2.0,10,1.0,True,0.0,-406.4322450525633,0.004625
independent,1000,5000,2.0,11,1.0,True,0.0,-374.0698421989073,0.0038416666666666664
independent,1000,5000,2.0,12,1.0,True,0.0,-375.273694385638,0.002766666666666667
independent,1000,5000,2.0,13,1.0,True,0.0,-359.3249821144,0.004986666666666666
independent,1000,5000,2.0,14,1.0,True,0.0,-421.64199203887074,0.0032633333333333334
independent,1000,5000,2.0,15,1.0,True,0.0,-363.707665825792,0.004585
independent,1000,5000,2.0,16,1.0,True,0.0,-324.4028670419648,0.0039000000000000003
independent,1000,5000,2.0,17,1.0,True,0.0,-350.57764641630274,0.006273333333333333
independent,1000,5000,2.0,18,1.0,True,0.0,-405.29100470310914,0.004113333333333333
independent,1000,5000,2.0,19,1.0,True,0.0,-357.5829861576549,0.006003333333333333
independent,1000,5000,2.0,20,1.0,True,0.0,-357.025873620134,0.003501666666666667
independent,1000,5000,3.0,1,1.0,True,0.0,-649.6947103496168,0.0039366666666666664
independent,1000,5000,3.0,2,1.0,True,0.0,-667.3901311398404,0.005836666666666666
